Security Code,Security Id,Security Name,Group,Face Value,ISIN No,Industry
500877,APOLLOTYRE,APOLLO TYRES LTD.,A ,1,INE438A01022,Auto Tyres & Rubber Products
500878,CEATLTD,CEAT LTD.,A ,10,INE482A01020,Auto Tyres & Rubber Products
500890,MODIRUBBER,MODI RUBBER LTD.,T ,10,INE832A01018,Auto Tyres & Rubber Products
500940,FINOLEXIND,FINOLEX INDUSTRIES LTD.,A ,10,INE183A01016,Plastic Products
501110,SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.,XT,10,INE371U01015,Other Financial Services
501111,ZGOLDINV,GOLD ROCK INVESTMENTS LTD.,XT,10,INE598F01014,Comm.Trading  & Distribution
501144,PEOPLIN,PEOPLES INVESTMENTS LTD.,XT,10,INE644U01015,Diversified Commercial Services
501148,DSINVEST,DALAL STREET INVESTMENTS LTD.,XT,10,INE422D01012,Investment Companies
501150,CENTRUM,CENTRUM CAPITAL LTD.,A ,1,INE660C01027,Other Financial Services
501151,KARTKIN,KARTIK INVESTMENTS TRUST LTD.,XT,10,INE524U01019,Other Financial Services
501242,TCIFINANCE,TCI FINANCE LTD.,B ,10,INE911B01018,Finance (including NBFCs)
501261,KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.,XT,10,INE567L01017,Other Financial Services
501270,ANTARIKSH,Antariksh Industries Ltd,XT,10,INE825M01017,Realty
501295,IITL,INDUSTRIAL INVESTMENT TRUST LTD.,B ,10,INE886A01014,Finance (including NBFCs)
501298,INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,X ,10,INE620D01011,Investment Companies
501301,TATAINVEST,TATA INVESTMENT CORPORATION LTD.,A ,10,INE672A01018,Holding Companies
501311,JAYBHCR,JAYABHARAT CREDIT LTD.-$,X ,10,INE998D01011,Finance (including NBFCs)
501314,PRISMX,Prismx Global Ventures Ltd,X ,10,INE286N01010,Comm.Trading  & Distribution
501343,MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,B ,10,INE861B01015,Finance (including NBFCs)
501351,RAPIDIN,RAPID INVESTMENTS LTD.,XT,10,INE154M01012,Diversified Commercial Services
501370,WALCHPF,WALCHAND PEOPLEFIRST LTD.,X ,10,INE695D01021,Consulting Services
501386,ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,XT,10,INE094R01019,Other Financial Services
